import time: self [us] | cumulative | imported package
import time:       198 |      36718 |     django.urls.exceptions
import time:       133 |        133 |       django.urls.converters
import time:        92 |         92 |       django.urls.utils
import time:       400 |        624 |     django.urls.resolvers
import time:       304 |      37645 |   django.urls.base
import time:        96 |         96 |   django.urls.conf
import time:       132 |      37872 | django.urls
import time:       466 |        466 |     logging.handlers
import time:       514 |        514 |     socketserver
import time:       909 |       1889 |   logging.config
import time:       277 |        277 |       email.generator
import time:      1556 |       1556 |         email._header_value_parser
import time:       423 |       1978 |       email.headerregistry
import time:       464 |        464 |         email.mime
import time:       259 |        259 |           email.contentmanager
import time:       290 |        549 |         email.policy
import time:       335 |       1347 |       email.mime.base
import time:       224 |        224 |         email.mime.nonmultipart
import time:       138 |        362 |       email.mime.message
import time:       266 |        266 |       email.mime.multipart
import time:        98 |         98 |       email.mime.text
import time:       191 |        191 |       django.core.mail.utils
import time:       490 |       5007 |     django.core.mail.message
import time:       235 |       5241 |   django.core.mail
import time:       246 |       7375 | django.utils.log
import time:       232 |        232 |       django.template.response
import time:       232 |        232 |       django.utils.decorators
import time:       845 |       1308 |     django.views.generic.base
import time:       243 |        243 |       django.views.generic.detail
import time:       564 |        564 |         django.core.paginator
import time:       258 |        821 |       django.views.generic.list
import time:      1081 |       2145 |     django.views.generic.dates
import time:       465 |        465 |     django.views.generic.edit
import time:       295 |       4211 |   django.views.generic
import time:         8 |       4219 | django.views.generic.base
import time:       294 |        294 |   pprint
import time:       568 |        568 |   django.utils.timesince
import time:       536 |       1397 | django.template.defaultfilters
import time:       118 |        118 |   django.utils.lorem_ipsum
import time:       186 |        186 |   django.template.smartif
import time:       527 |        830 | django.template.defaulttags
import time:       308 |        308 | django.contrib.admin.decorators
import time:       836 |        836 |         django.contrib.messages.constants
import time:       103 |        103 |         django.contrib.messages.storage
import time:       208 |       1145 |       django.contrib.messages.api
import time:       228 |       1372 |     django.contrib.messages
import time:       361 |        361 |       django.contrib.admin.utils
import time:       403 |        764 |     django.contrib.admin.helpers
import time:       537 |        537 |     django.contrib.admin.widgets
import time:       377 |        377 |     django.contrib.admin.checks
import time:       184 |        184 |     django.contrib.admin.exceptions
import time:       162 |        162 |       django.contrib.admin.templatetags
import time:       243 |        404 |     django.contrib.admin.templatetags.admin_urls
import time:       188 |        188 |         django.middleware
import time:       240 |        240 |         django.utils.cache
import time:       659 |       1086 |       django.middleware.csrf
import time:       213 |        213 |         django.views.decorators
import time:       254 |        466 |       django.views.decorators.debug
import time:       136 |        136 |       django.contrib.auth.signals
import time:       487 |       2173 |     django.contrib.auth
import time:       872 |        872 |     django.views.decorators.csrf
import time:       730 |       7410 |   django.contrib.admin.options
import time:       327 |       7737 | django.contrib.admin.filters
import time:       181 |        181 |   django.contrib.admin.actions
import time:        90 |         90 |     django.contrib.admin.views
import time:       257 |        346 |   django.contrib.admin.views.autocomplete
import time:       266 |        266 |     django.middleware.cache
import time:        89 |        355 |   django.views.decorators.cache
import time:        81 |         81 |   django.views.decorators.common
import time:       295 |        295 |   django.views.i18n
import time:       391 |       1646 | django.contrib.admin.sites
import time:       206 |        206 |     getpass
import time:        84 |         84 |       django.contrib.contenttypes
import time:       269 |        269 |           django.db.migrations.utils
import time:       310 |        310 |           django.db.migrations.exceptions
import time:       266 |        844 |         django.db.migrations.migration
import time:       210 |        210 |             django.db.migrations.operations.base
import time:       287 |        496 |           django.db.migrations.operations.fields
import time:       344 |        344 |             django.db.migrations.state
import time:       484 |        828 |           django.db.migrations.operations.models
import time:       193 |        193 |           django.db.migrations.operations.special
import time:       444 |       1960 |         django.db.migrations.operations
import time:       196 |       2999 |       django.db.migrations
import time:       155 |       3237 |     django.contrib.contenttypes.management
import time:       126 |       3569 |   django.contrib.auth.management
import time:       212 |       3781 | django.contrib.auth.checks
import time:        90 |         90 | django.contrib.contenttypes.checks
import time:        87 |         87 |   django.contrib.messages.utils
import time:       280 |        366 | django.contrib.messages.storage.base
